GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
6007,"Butte, CA",56,      Real estate and rental and leasing,1670881,1671012,1653152,1792966,1906856,2062827,2185757,2334606,2481379,2838203
6007,"Butte, CA",59,    Professional and business services,510983,553213,586901,503806,607304,603263,619833,673238,682290,735254
6007,"Butte, CA",60,"      Professional, scientific, and technical services",258972,274747,298413,299778,306098,313148,294691,311922,319413,341994
6007,"Butte, CA",64,      Management of companies and enterprises,108432,116344,115378,27976,128589,131533,137823,162106,164207,167210
6007,"Butte, CA",65,      Administrative and support and waste management and remediation services,143579,162121,173111,176051,172617,158583,187319,199210,198671,226049
6007,"Butte, CA",68,"    Educational services, health care, and social assistance",943794,982964,1037289,1085945,1113222,1165921,1251815,1320318,1373363,1350572
6007,"Butte, CA",69,      Educational services,25717,28402,31656,38793,42795,25794,24223,25091,30131,31493
6007,"Butte, CA",70,      Health care and social assistance,918077,954562,1005633,1047152,1070426,1140127,1227591,1295227,1343232,1319079
6007,"Butte, CA",75,"    Arts, entertainment, recreation, accommodation, and food services",203128,213606,234284,250790,272676,304118,325088,347343,374879,409958
6007,"Butte, CA",76,"      Arts, entertainment, and recreation",29775,30820,31417,32848,35971,37171,40910,42862,47768,56976
6007,"Butte, CA",79,      Accommodation and food services,173353,182786,202866,217942,236705,266947,284178,304480,327111,352983
6007,"Butte, CA",82,    Other services (except government and government enterprises),245503,242906,248397,249774,258986,266020,277559,288495,304570,322519
6007,"Butte, CA",83,Government and government enterprises,1080904,1124163,1122970,1168365,1225101,1338399,1390578,1419617,1467974,1516716
6007,"Butte, CA",,Addenda:,,,,,,,,,,
6007,"Butte, CA",87,Natural resources and mining,502548,492827,446479,561004,405287,295940,375175,387684,467217,415232
6007,"Butte, CA",88,Trade,853083,877742,913848,953159,976971,1026114,1037879,1108946,1153828,1239057
6007,"Butte, CA",89,Transportation and utilities,494086,602503,463710,448065,337551,333010,541999,654679,490701,745769
6007,"Butte, CA",90,Manufacturing and information,460015,466540,503405,554033,573831,638876,663903,717819,743101,760089
